ra,dec,SDSS_Objid,Prediction,Label
0.0134,-1.1130000352859497,1237663275780276407,0.0018093942,Barred-NonRings
0.0198,0.7817000150680542,1237657191978959126,0.65042156,Barred-Rings
0.0323,-0.7236999869346619,1237663783123681369,0.039324827,Barred-NonRings
0.056,-1.2136000394821167,1237663275780276438,0.0607679,Barred-NonRings
0.1145,14.962499618530272,1237656495650570466,0.20805006,Barred-NonRings
0.117,14.381199836730955,1237652942638481637,0.18311505,Barred-NonRings
0.1287,-1.2130000591278076,1237663275780341888,0.532812,Barred-Rings
0.1589,14.623600006103516,1237656495113699423,0.024679273,Barred-NonRings
0.1665,-1.1912000179290771,1237663275780341936,0.036194198,Barred-NonRings
0.2281,15.218700408935549,1237652943712288939,0.0006474939,Barred-NonRings
0.241,14.190400123596191,1237656494576894171,0.16288434,Barred-NonRings
0.2417,14.864399909973145,1237652943175418025,0.21569349,Barred-NonRings
0.2613,-0.257099986076355,1237663783660617841,0.0011893015,Barred-NonRings
0.2978,15.985899925231934,1237656496724443439,0.0005175114,Barred-NonRings
0.3001,15.351400375366213,1237652943712288996,0.17304263,Barred-NonRings
0.306,-0.992900013923645,1237657189831606381,0.008201505,Barred-NonRings
0.3688,-0.2243999987840652,1237663783660683434,0.32135746,Barred-NonRings
0.3809,14.407500267028809,1237652942638612625,0.21144094,Barred-NonRings
0.3886,-0.7304999828338623,1237663783123812523,0.00015589598,Barred-NonRings
0.3989,-0.3952000141143799,1237663783660683462,0.3035636,Barred-NonRings
0.425,15.652199745178224,1237652944249225452,0.20413843,Barred-NonRings
0.462,15.255000114440918,1237652943712354569,0.0968023,Barred-NonRings
0.4795,14.852399826049805,1237652943175483588,0.054113757,Barred-NonRings
0.5039,-0.3431000113487243,1237663783660748955,0.038550634,Barred-NonRings
0.5391,-10.419300079345703,1237652946915295426,0.00015921934,Barred-NonRings
0.5445,15.432499885559082,1237656496187638091,0.0005174315,Barred-NonRings
0.5753,13.778300285339355,1237656494040154337,0.025063617,Barred-NonRings
0.58,15.63319969177246,1237652944249291046,0.06305187,Barred-NonRings
0.6137,16.078500747680664,1237652944786161910,0.0068309517,Barred-NonRings
0.6574,14.53499984741211,1237652942638743738,0.046424773,Barred-NonRings
0.6978,-9.816100120544434,1237652900748394608,0.7527607,Barred-Rings
0.7149,15.654800415039062,1237652944249356448,0.09301861,Barred-NonRings
0.7181,1.1171000003814695,1237657192516157525,0.2755314,Barred-NonRings
0.7853,15.811800003051758,1237656496724639896,0.06201978,Barred-NonRings
0.8124,15.407500267028809,1237656496187768965,0.0013875166,Barred-NonRings
0.8173,0.914900004863739,1237663278464958643,0.006981548,Barred-NonRings
0.8259,0.8123000264167786,1237657191979286717,0.1336877,Barred-NonRings
0.8585,14.45479965209961,1237652942638809115,0.04134034,Barred-NonRings
0.8683,14.489399909973145,1237652942638809245,0.14014883,Barred-NonRings
0.9272,-10.996999740600586,1237652946378555519,0.16011876,Barred-NonRings
0.9435,0.1982000023126602,1237663784197816469,0.0012339877,Barred-NonRings
0.9498,15.172200202941896,1237656495650963571,0.06901129,Barred-NonRings
0.9682,-9.943599700927734,1237652900748525657,0.0002956232,Barred-NonRings
0.9779,14.197400093078612,1237656494577221848,0.0076603093,Barred-NonRings
0.9869,1.1670000553131104,1237657192516223184,0.09910646,Barred-NonRings
1.0026,14.703800201416016,1237656495114092640,0.14272544,Barred-NonRings
1.0123,13.751500129699709,1237656494040350935,0.0074283374,Barred-NonRings
1.0174,15.49820041656494,1237656496187834574,0.02270984,Barred-NonRings
1.0322,0.7365000247955322,1237657191979417764,0.08964627,Barred-NonRings
1.0548,13.85159969329834,1237656494040350879,0.00017755914,Barred-NonRings
1.0558,15.844400405883787,1237656496724705497,0.25908318,Barred-NonRings
1.1178,15.98169994354248,1237656496724770959,0.16643696,Barred-NonRings
1.1302,15.122200012207031,1237656495651029228,0.21603006,Barred-NonRings
1.1583,14.02970027923584,1237652942102069347,0.11638394,Barred-NonRings
1.1685,-9.426400184631348,1237652901285462166,0.005313334,Barred-NonRings
1.1772,14.172900199890137,1237656494577287307,0.0024905556,Barred-NonRings
1.2009,-10.842399597167969,1237652946378686538,0.102093905,Barred-NonRings
1.2323,1.1698999404907229,1237657192516354203,0.19090435,Barred-NonRings
1.2421,15.833100318908691,1237656496724836494,0.10284092,Barred-NonRings
1.2579,14.015600204467772,1237652942102069457,0.1821203,Barred-NonRings
1.3225,-0.6144000291824341,1237657190368936097,0.14248246,Barred-NonRings
1.3328,-10.431900024414062,1237652946915623123,0.001981981,Barred-NonRings
1.3505,16.049999237060547,1237652944786489677,0.9029513,Barred-Rings
1.3593,15.973999977111816,1237656496724836637,0.041092515,Barred-NonRings
1.3763,-0.4632999897003174,1237657190368936136,0.22953263,Barred-NonRings
1.3811,-10.482799530029297,1237652946915623087,0.0009153129,Barred-NonRings
1.3822,-9.583700180053713,1237652947989364795,0.8070322,Barred-Rings
1.3855,-11.152199745178224,1237652899138109498,0.60818475,Barred-Rings
1.392,13.895999908447266,1237656494040482056,0.26520643,Barred-NonRings
1.4097,-10.038999557495115,1237652947452493993,0.071711786,Barred-NonRings
1.411,15.65089988708496,1237652944249684281,0.00015199301,Barred-NonRings
1.4605,-9.500300407409668,1237652901285593265,0.03134207,Barred-NonRings
1.483,15.63249969482422,1237652944249684336,0.00089736545,Barred-NonRings
1.4882,-10.099499702453612,1237652947452559513,0.052153934,Barred-NonRings
1.4916,-9.354900360107422,1237652901285593282,0.2041771,Barred-NonRings
1.5096,15.99180030822754,1237656496724902119,0.63534826,Barred-Rings
1.5363,14.502900123596191,1237652942639071373,0.00015103689,Barred-NonRings
1.5476,1.0394999980926514,1237663278465286281,0.00084645516,Barred-NonRings
1.6118,-9.8371000289917,1237652900748787877,0.00036851235,Barred-NonRings
1.644,15.809000015258787,1237652944249749735,0.11914302,Barred-NonRings
1.6524,15.490799903869627,1237656496188096755,0.10447951,Barred-NonRings
1.6568,-0.5444999933242798,1237657190369067255,0.11736451,Barred-NonRings
1.6699,-0.4726000130176544,1237657190369067270,0.39908287,Barred-NonRings
1.6867,13.996800422668455,1237652942102266066,0.032554567,Barred-NonRings
1.6944,16.000499725341797,1237656496725033055,0.004018783,Barred-NonRings
1.7089,-1.2005000114440918,1237663275780997397,0.12985088,Barred-NonRings
1.7464,15.315099716186523,1237652943712944222,0.00027376236,Barred-NonRings
1.7625,-0.736299991607666,1237663783124402343,0.008041201,Barred-NonRings
1.7881,14.76949977874756,1237652943176073434,0.0035755935,Barred-NonRings
1.8223,-10.284199714660645,1237652900212047983,0.067517415,Barred-NonRings
1.8257,0.5730000138282776,1237663277928546495,0.00021703102,Barred-NonRings
1.8278,-10.353599548339844,1237652900212048065,0.11683803,Barred-NonRings
1.8423,15.636500358581545,1237652944249815192,0.8413066,Barred-Rings
